disaster.event,user.anon,date,latitude,longitude.anon,user_date_freq,days
42_AuFire2,5567,2013/10/23,151.1815187,-31.99510361,1,16
42_AuFire2,5567,2013/10/24,151.1815617,-31.99509021,11,17
42_AuFire2,5567,2013/10/26,151.1912429,-31.99842941,2,19
42_AuFire2,5567,2013/10/28,151.1926948,-31.99942939,1,21
42_AuFire2,5568,2013/11/7,151.1937277,-32.05636897,3,31
42_AuFire2,5568,2013/11/8,151.1945094,-32.02867022,3,32
42_AuFire2,5568,2013/11/9,151.1945812,-32.05383416,1,33
42_AuFire2,5569,2013/10/23,151.1915565,-32.01839476,1,16
42_AuFire2,5570,2013/10/24,151.0629765,-31.96001064,4,17
42_AuFire2,5570,2013/10/25,151.0632874,-31.9600145,3,18
42_AuFire2,5570,2013/10/26,151.0478375,-31.97941473,2,19
42_AuFire2,5571,2013/10/11,151.1945573,-32.01165051,1,4
42_AuFire2,5571,2013/10/14,151.0815542,-32.06379031,1,7
42_AuFire2,5571,2013/10/18,150.9915837,-32.07374821,2,11
42_AuFire2,5572,2013/10/11,151.1938185,-31.99950931,1,4
42_AuFire2,5573,2013/10/12,150.310987,-31.82833951,1,5
42_AuFire2,5574,2013/10/13,151.1789054,-32.01257506,1,6
42_AuFire2,5575,2013/10/20,151.1767027,-31.89998743,1,13
42_AuFire2,5576,2013/10/14,151.1922037,-32.03409807,1,7
42_AuFire2,5577,2013/10/8,150.7691276,-31.88463273,2,1
42_AuFire2,5577,2013/10/12,150.8045464,-31.91287914,2,5
42_AuFire2,5577,2013/10/14,150.8045464,-31.91287914,1,7
42_AuFire2,5577,2013/10/17,150.8045464,-31.91287914,1,10
42_AuFire2,5577,2013/10/29,150.8045464,-31.91287914,1,22
42_AuFire2,5578,2013/10/8,151.1111936,-31.81063975,1,1
42_AuFire2,5578,2013/10/14,151.1111936,-31.81063975,1,7
42_AuFire2,5578,2013/10/17,151.1111936,-31.81063975,1,10
42_AuFire2,5578,2013/10/21,151.1111936,-31.81063975,1,14
42_AuFire2,5578,2013/10/22,151.1111936,-31.81063975,2,15
42_AuFire2,5578,2013/10/23,151.1111936,-31.81063975,3,16
42_AuFire2,5578,2013/10/25,151.1111936,-31.81063975,4,18
42_AuFire2,5578,2013/10/26,151.1111936,-31.81063975,1,19
42_AuFire2,5578,2013/11/6,151.1111936,-31.81063975,3,30
42_AuFire2,5579,2013/10/30,151.1195397,-31.89219923,1,23
42_AuFire2,5580,2013/11/8,151.0366438,-31.89750547,1,32
42_AuFire2,5581,2013/10/13,151.1836347,-31.9114113,1,6
42_AuFire2,5581,2013/10/20,151.1991485,-31.92508803,1,13
42_AuFire2,5582,2013/10/12,150.9568627,-31.98144248,2,5
42_AuFire2,5582,2013/10/16,151.0039208,-31.92743079,1,9
42_AuFire2,5582,2013/10/22,151.0250589,-31.92721934,2,15
42_AuFire2,5582,2013/10/31,151.154309,-31.87222851,1,24
42_AuFire2,5583,2013/10/8,151.1965548,-32.05755941,1,1
42_AuFire2,5583,2013/10/10,151.1963123,-31.981965,1,3
42_AuFire2,5583,2013/10/11,151.1957659,-32.03946998,2,4
42_AuFire2,5583,2013/10/15,151.1961866,-32.03755878,1,8
42_AuFire2,5583,2013/10/16,151.1966297,-32.05783938,1,9
42_AuFire2,5583,2013/10/17,151.1964637,-32.05761509,1,10
42_AuFire2,5583,2013/10/21,151.1965439,-32.05762473,2,14
42_AuFire2,5583,2013/10/24,151.196918,-32.05850171,3,17
42_AuFire2,5583,2013/10/25,151.197107,-31.9788868,3,18
42_AuFire2,5583,2013/10/28,151.196563,-32.05754223,3,21
42_AuFire2,5583,2013/10/30,151.1959655,-31.98014568,2,23
42_AuFire2,5583,2013/11/6,151.1961163,-31.98079776,6,30
42_AuFire2,5583,2013/11/7,151.1964151,-31.98009757,2,31
42_AuFire2,5583,2013/11/9,151.1949758,-31.98446845,1,33
42_AuFire2,5584,2013/11/9,151.0190948,-31.96831696,1,33
42_AuFire2,5585,2013/10/13,150.7209785,-31.88587409,1,6
42_AuFire2,5586,2013/10/25,151.0629848,-31.95998952,2,18
42_AuFire2,5586,2013/10/28,151.0779003,-31.92642007,1,21
42_AuFire2,5587,2013/10/18,150.9072242,-31.8857307,1,11
42_AuFire2,5587,2013/10/19,150.8716045,-31.88007023,2,12
42_AuFire2,5587,2013/10/31,151.1652091,-32.05252923,1,24
42_AuFire2,5588,2013/11/9,150.9538308,-31.82513201,1,33
42_AuFire2,5589,2013/10/8,150.9109397,-31.88271341,4,1
42_AuFire2,5589,2013/10/10,150.9032362,-31.88720031,1,3
42_AuFire2,5589,2013/10/11,150.8535648,-31.85631081,1,4
42_AuFire2,5589,2013/10/12,150.886298,-31.84573851,2,5
42_AuFire2,5589,2013/10/13,150.8550726,-31.85875101,2,6
42_AuFire2,5589,2013/10/19,150.8550696,-31.85868461,1,12
42_AuFire2,5589,2013/10/20,150.8550801,-31.85870751,1,13
42_AuFire2,5589,2013/10/22,150.9072128,-31.88613711,1,15
42_AuFire2,5589,2013/10/23,150.8550595,-31.85876861,5,16
42_AuFire2,5589,2013/10/24,150.8550932,-31.85877401,2,17
42_AuFire2,5589,2013/10/25,150.8551086,-31.85865361,3,18
42_AuFire2,5589,2013/10/26,150.8551001,-31.85868581,8,19
42_AuFire2,5589,2013/10/27,150.8550681,-31.85862111,4,20
42_AuFire2,5589,2013/10/29,150.8541334,-31.85818861,1,22
42_AuFire2,5589,2013/10/30,150.9066638,-31.88542931,2,23
42_AuFire2,5590,2013/10/11,151.1983472,-32.04748391,1,4
42_AuFire2,5590,2013/10/15,151.1986279,-32.05829721,1,8
42_AuFire2,5590,2013/10/18,151.1986463,-32.05829411,1,11
42_AuFire2,5590,2013/10/20,151.1992843,-32.05880601,4,13
42_AuFire2,5590,2013/10/22,151.1977861,-32.05867961,4,15
42_AuFire2,5590,2013/10/25,151.0156553,-31.94795781,1,18
42_AuFire2,5590,2013/10/29,151.1967932,-32.05834301,1,22
42_AuFire2,5591,2013/10/22,150.3013252,-31.84392528,1,15
42_AuFire2,5592,2013/10/9,151.1914015,-32.02119739,1,2
42_AuFire2,5592,2013/10/16,150.9157431,-31.82968151,1,9
42_AuFire2,5592,2013/10/17,151.1962295,-32.0234947,1,10
42_AuFire2,5592,2013/10/25,151.194427,-32.02607688,1,18
42_AuFire2,5592,2013/10/28,151.1939697,-32.02284865,1,21
42_AuFire2,5592,2013/10/30,151.1939697,-32.02284865,1,23
42_AuFire2,5592,2013/11/8,151.1939697,-32.02284865,1,32
42_AuFire2,5593,2013/10/10,151.0535973,-32.06233455,1,3
42_AuFire2,5594,2013/10/11,151.0601157,-32.06176897,2,4
42_AuFire2,5594,2013/10/31,151.0601338,-32.06182417,1,24
42_AuFire2,5595,2013/11/9,151.0299342,-32.09505359,1,33
42_AuFire2,5596,2013/10/12,151.1626006,-31.96916608,1,5
42_AuFire2,5597,2013/10/26,151.084542,-31.94576619,1,19
42_AuFire2,5598,2013/10/10,150.9293093,-31.84709799,2,3
42_AuFire2,5598,2013/10/12,150.997179,-31.90697387,1,5
42_AuFire2,5598,2013/10/15,151.0425587,-31.87328963,1,8
42_AuFire2,5598,2013/10/21,150.9294031,-31.84718549,1,14
42_AuFire2,5598,2013/10/23,151.1938011,-31.98532783,1,16
42_AuFire2,5598,2013/10/27,150.9296761,-31.84721746,1,20
42_AuFire2,5598,2013/10/28,150.9373092,-31.83437015,1,21
42_AuFire2,5598,2013/10/29,150.929819,-31.84724538,3,22
42_AuFire2,5599,2013/10/11,151.094751,-31.98646251,1,4
42_AuFire2,5599,2013/10/15,151.1951305,-32.01730526,4,8
42_AuFire2,5599,2013/10/25,151.0941784,-31.9868594,1,18
42_AuFire2,5599,2013/10/27,151.1512095,-32.02172847,1,20
42_AuFire2,5599,2013/10/28,151.1951305,-32.01730526,1,21
42_AuFire2,5599,2013/11/6,151.159733,-32.02741051,1,30
42_AuFire2,5599,2013/11/8,151.158178,-32.02672551,1,32
42_AuFire2,5600,2013/11/8,150.8619809,-31.88345681,2,32
42_AuFire2,5600,2013/11/9,150.9457933,-31.8472827,2,33
42_AuFire2,5601,2013/10/8,151.0796468,-32.03917578,2,1
42_AuFire2,5601,2013/10/9,151.0761472,-32.04120461,8,2
42_AuFire2,5601,2013/10/10,151.076169,-32.04121261,5,3
42_AuFire2,5601,2013/10/11,151.0795619,-32.03897331,5,4
42_AuFire2,5601,2013/10/12,151.0752921,-32.04035361,3,5
42_AuFire2,5601,2013/10/14,151.0752846,-32.04034911,7,7
42_AuFire2,5601,2013/10/15,151.0981275,-32.05190933,6,8
42_AuFire2,5601,2013/10/16,151.0752864,-32.04035191,8,9
42_AuFire2,5601,2013/10/17,151.0721346,-32.04025301,5,10
42_AuFire2,5601,2013/10/18,151.0825709,-32.0420891,6,11
42_AuFire2,5601,2013/10/19,151.0795298,-32.03895471,1,12
42_AuFire2,5601,2013/10/22,151.0753035,-32.0333183,5,15
42_AuFire2,5601,2013/11/6,151.0756194,-32.03527963,5,30
42_AuFire2,5602,2013/10/20,150.8207885,-31.88081265,1,13
42_AuFire2,5603,2013/10/22,151.0768097,-31.99108504,1,15
42_AuFire2,5604,2013/10/9,151.1360846,-32.06783848,1,2
42_AuFire2,5605,2013/10/28,151.1360726,-32.08162631,2,21
42_AuFire2,5606,2013/10/30,151.0722504,-32.0292726,4,23
42_AuFire2,5606,2013/10/31,151.0721588,-32.02918868,1,24
42_AuFire2,5607,2013/10/19,151.1959383,-31.93691684,1,12
42_AuFire2,5608,2013/10/11,149.5462617,-31.50417381,1,4
42_AuFire2,5608,2013/10/12,149.5461606,-31.50422073,3,5
42_AuFire2,5608,2013/10/13,149.5462604,-31.50417381,6,6
42_AuFire2,5608,2013/10/15,149.5515204,-31.50511691,1,8
42_AuFire2,5608,2013/10/17,149.5526596,-31.50937421,1,10
42_AuFire2,5608,2013/10/18,149.5515465,-31.50517341,1,11
42_AuFire2,5608,2013/10/19,149.5462119,-31.50426741,1,12
42_AuFire2,5608,2013/10/21,149.5782542,-31.54127731,1,14
42_AuFire2,5608,2013/10/27,149.55145,-31.50521641,1,20
42_AuFire2,5608,2013/10/28,149.5605185,-31.51314338,1,21
42_AuFire2,5609,2013/10/11,150.285768,-31.31566751,1,4
42_AuFire2,5610,2013/10/28,151.1970558,-31.98562974,1,21
42_AuFire2,5611,2013/10/27,151.1650029,-32.05475311,5,20
42_AuFire2,5612,2013/10/23,151.1596301,-31.93576847,1,16
42_AuFire2,5613,2013/10/13,149.5578773,-31.55408652,1,6
42_AuFire2,5614,2013/10/28,150.9998458,-31.85685183,4,21
42_AuFire2,5614,2013/10/31,150.999975,-31.85695264,2,24
42_AuFire2,5615,2013/10/9,151.0756147,-31.93313332,1,2
42_AuFire2,5616,2013/10/29,151.1912321,-31.98513645,1,22
42_AuFire2,5617,2013/10/11,151.1810508,-31.92584926,1,4
42_AuFire2,5617,2013/10/17,151.1855407,-31.93145213,1,10
42_AuFire2,5618,2013/11/7,151.1603323,-31.93192822,1,31
42_AuFire2,5619,2013/10/30,151.1795191,-32.05081403,1,23
42_AuFire2,5620,2013/10/26,151.1699262,-32.01446637,1,19
42_AuFire2,5621,2013/10/8,151.0246368,-32.01857824,4,1
42_AuFire2,5621,2013/10/12,151.0245836,-32.01860395,3,5
42_AuFire2,5621,2013/10/13,151.0245631,-32.01860904,4,6
42_AuFire2,5621,2013/10/15,151.0245724,-32.01857279,1,8
42_AuFire2,5621,2013/10/19,151.0246293,-32.01861655,2,12
42_AuFire2,5621,2013/10/20,151.0246516,-32.01863819,3,13
42_AuFire2,5621,2013/10/23,151.0246001,-32.01927629,1,16
42_AuFire2,5621,2013/10/24,151.0245257,-32.02218099,1,17
42_AuFire2,5621,2013/10/27,151.0246429,-32.01864288,1,20
42_AuFire2,5621,2013/10/31,151.0245188,-32.01854634,1,24
42_AuFire2,5622,2013/10/17,151.1652984,-32.05123088,3,10
42_AuFire2,5623,2013/10/26,151.1004057,-31.91296919,1,19
42_AuFire2,5624,2013/10/13,150.820656,-31.88093551,1,6
42_AuFire2,5625,2013/10/12,151.1846799,-31.91111851,1,5
42_AuFire2,5626,2013/10/25,151.1785269,-32.04712319,1,18
42_AuFire2,5627,2013/10/24,151.1699043,-32.01276461,1,17
42_AuFire2,5627,2013/10/29,151.1696041,-32.01185011,1,22
42_AuFire2,5628,2013/10/17,151.179258,-32.01790051,1,10
42_AuFire2,5629,2013/10/8,150.8899542,-32.01430648,4,1
42_AuFire2,5629,2013/10/9,150.8895989,-32.01390747,6,2
42_AuFire2,5629,2013/10/10,150.8898415,-32.01438295,4,3
42_AuFire2,5629,2013/10/11,150.8580505,-32.04935353,2,4
42_AuFire2,5629,2013/10/13,150.8897283,-32.01418568,4,6
42_AuFire2,5630,2013/10/24,151.1574781,-32.00189236,1,17
42_AuFire2,5630,2013/11/9,151.026128,-31.87236339,1,33
42_AuFire2,5631,2013/11/8,150.9133287,-31.88559343,1,32
42_AuFire2,5632,2013/10/17,151.153358,-31.98290651,1,10
42_AuFire2,5633,2013/10/17,151.1427786,-31.99315979,1,10
42_AuFire2,5634,2013/10/9,151.1491406,-31.84715581,2,2
42_AuFire2,5634,2013/10/10,151.149102,-31.84722645,1,3
42_AuFire2,5634,2013/10/12,151.1491391,-31.84716007,3,5
42_AuFire2,5634,2013/10/14,151.1491909,-31.84756767,4,7
42_AuFire2,5634,2013/10/15,151.1566149,-31.84683747,1,8
42_AuFire2,5634,2013/10/22,151.1491283,-31.84721481,2,15
42_AuFire2,5634,2013/10/31,151.1490884,-31.8473672,2,24
42_AuFire2,5635,2013/10/21,151.1225838,-31.89823133,1,14
42_AuFire2,5635,2013/11/7,151.1835156,-32.01478282,2,31
42_AuFire2,5636,2013/10/9,149.5597816,-31.55482547,1,2
