name,day,count
21_Norfolk,1,1388
21_Norfolk,2,1378
21_Norfolk,3,1376
21_Norfolk,4,1497
21_Norfolk,5,1509
21_Norfolk,6,1407
21_Norfolk,7,1350
21_Norfolk,8,1345
21_Norfolk,9,1330
21_Norfolk,10,1384
21_Norfolk,11,1384
21_Norfolk,12,1542
21_Norfolk,13,1323
21_Norfolk,14,1357
21_Norfolk,15,1454
21_Norfolk,16,1540
21_Norfolk,17,1420
21_Norfolk,18,1480
21_Norfolk,19,1413
21_Norfolk,20,1393
21_Norfolk,21,1352
21_Norfolk,22,1352
21_Norfolk,23,1359
21_Norfolk,24,1360
21_Norfolk,25,1436
21_Norfolk,26,1561
21_Norfolk,27,1402
21_Norfolk,28,1406
21_Norfolk,29,1358
21_Norfolk,30,1416
21_Norfolk,31,1363
21_Norfolk,32,169
22_Hamburg,1,265
22_Hamburg,2,275
22_Hamburg,3,273
22_Hamburg,4,253
22_Hamburg,5,250
22_Hamburg,6,240
22_Hamburg,7,242
22_Hamburg,8,257
22_Hamburg,9,243
22_Hamburg,10,277
22_Hamburg,11,250
22_Hamburg,12,234
22_Hamburg,13,251
22_Hamburg,14,256
22_Hamburg,15,244
22_Hamburg,16,312
22_Hamburg,17,334
22_Hamburg,18,255
22_Hamburg,19,220
22_Hamburg,20,208
22_Hamburg,21,229
22_Hamburg,22,261
22_Hamburg,23,268
22_Hamburg,24,253
22_Hamburg,25,237
22_Hamburg,26,198
22_Hamburg,27,239
22_Hamburg,28,220
22_Hamburg,29,244
22_Hamburg,30,219
22_Hamburg,31,232
22_Hamburg,32,19
23_Atlanta,1,1287
23_Atlanta,2,1370
23_Atlanta,3,1517
23_Atlanta,4,1748
23_Atlanta,5,1564
23_Atlanta,6,1442
23_Atlanta,7,1433
23_Atlanta,8,1425
23_Atlanta,9,231
23_Atlanta,10,1242
23_Atlanta,11,1667
23_Atlanta,12,1797
23_Atlanta,13,2004
23_Atlanta,14,1752
23_Atlanta,15,1543
23_Atlanta,16,2326
23_Atlanta,17,1846
23_Atlanta,18,1442
23_Atlanta,19,1634
23_Atlanta,20,1854
23_Atlanta,21,1905
23_Atlanta,22,1574
23_Atlanta,23,1698
23_Atlanta,24,1672
23_Atlanta,25,1700
23_Atlanta,26,1861
23_Atlanta,27,2116
23_Atlanta,28,1754
23_Atlanta,29,1725
23_Atlanta,30,1596
23_Atlanta,31,1686
23_Atlanta,32,1651
23_Atlanta,33,301
